Date,Price
13/07/2022,112.19
12/07/2022,114.85
11/07/2022,116.52
08/07/2022,120.17
07/07/2022,119.31
06/07/2022,115.21
05/07/2022,113.89
01/07/2022,109.08
30/06/2022,109.37
29/06/2022,112.26
28/06/2022,112.57
27/06/2022,116.62
24/06/2022,118.54
23/06/2022,112.68
22/06/2022,112.03
21/06/2022,112.01
17/06/2022,107.87
16/06/2022,106.64
15/06/2022,110.39
14/06/2022,107.19
13/06/2022,106.88
10/06/2022,111.43
09/06/2022,114.92
08/06/2022,117.24
07/06/2022,117.23
06/06/2022,117.01
03/06/2022,114.56
02/06/2022,117.75
01/06/2022,114.14
31/05/2022,114.04
27/05/2022,112.8
26/05/2022,108.3
25/05/2022,105.84
24/05/2022,105.93
23/05/2022,111.67
20/05/2022,109.31
19/05/2022,110.75
18/05/2022,112.4
17/05/2022,116.7
16/05/2022,114.79
13/05/2022,116.52
12/05/2022,113.16
11/05/2022,113.96
10/05/2022,114.58
09/05/2022,113.08
06/05/2022,115.66
05/05/2022,116.75
04/05/2022,122.57
03/05/2022,118.13
02/05/2022,117.16
29/04/2022,114.97
28/04/2022,119.41
27/04/2022,115.02
26/04/2022,119.51
25/04/2022,123.25
22/04/2022,119.61
21/04/2022,124.94
20/04/2022,128.25
19/04/2022,130.53
18/04/2022,127.96
14/04/2022,127.25
13/04/2022,130.29
12/04/2022,128.37
11/04/2022,129.8
08/04/2022,134.01
07/04/2022,136.46
06/04/2022,137.18
05/04/2022,141.06
04/04/2022,143.64
01/04/2022,140.7
31/03/2022,139.65
30/03/2022,142.64
29/03/2022,143.25
28/03/2022,141.95
25/03/2022,141.52
24/03/2022,141.31
23/03/2022,138.5
22/03/2022,140.28
21/03/2022,136.48
18/03/2022,136.8
17/03/2022,134.6
16/03/2022,133.69
15/03/2022,129.66
14/03/2022,126.74
11/03/2022,130.48
10/03/2022,132.68
09/03/2022,133.87
08/03/2022,127.28
07/03/2022,126.46
04/03/2022,132.12
03/03/2022,134.31
02/03/2022,134.75
01/03/2022,134.17
28/02/2022,134.89
25/02/2022,134.52
24/02/2022,132.67
23/02/2022,127.58
22/02/2022,129.4
18/02/2022,130.47
17/02/2022,132.31
16/02/2022,137.49
15/02/2022,136.43
14/02/2022,135.3
11/02/2022,134.13
10/02/2022,138.6
09/02/2022,141.45
08/02/2022,139.21
07/02/2022,138.94
04/02/2022,143.02
03/02/2022,142.65
02/02/2022,148.04
01/02/2022,137.88
31/01/2022,135.7
28/01/2022,133.29
27/01/2022,129.12
26/01/2022,129.24
25/01/2022,126.74
24/01/2022,130.37
21/01/2022,130.09
20/01/2022,133.51
19/01/2022,135.65
18/01/2022,136.29
14/01/2022,139.79
13/01/2022,139.13
12/01/2022,141.65
11/01/2022,140.02
10/01/2022,138.57
07/01/2022,137
06/01/2022,137.55
05/01/2022,137.65
04/01/2022,144.42
03/01/2022,145.07
31/12/2021,144.68
30/12/2021,146
29/12/2021,146.5
28/12/2021,146.45
27/12/2021,148.06
23/12/2021,147.14
22/12/2021,146.95
21/12/2021,144.22
20/12/2021,142.4
17/12/2021,142.8
16/12/2021,144.84
15/12/2021,147.37
14/12/2021,144.97
13/12/2021,146.7
10/12/2021,148.68
09/12/2021,148.11
08/12/2021,148.72
07/12/2021,148.04
06/12/2021,143.8
03/12/2021,142.52
02/12/2021,143.78
01/12/2021,141.62
30/11/2021,142.45
29/11/2021,146.11
26/11/2021,142.81
24/11/2021,146.72
23/11/2021,146.76
22/11/2021,147.08
19/11/2021,149.95
18/11/2021,150.71
17/11/2021,149.06
16/11/2021,149.08
15/11/2021,149.39
12/11/2021,149.65
11/11/2021,146.75
10/11/2021,146.63
09/11/2021,149.25
08/11/2021,149.35
05/11/2021,149.24
04/11/2021,148.68
03/11/2021,146.79
02/11/2021,145.86
01/11/2021,143.77
29/10/2021,148.27
28/10/2021,146.13
27/10/2021,146.43
26/10/2021,139.67
25/10/2021,138.77
22/10/2021,138.62
21/10/2021,142.78
20/10/2021,142.41
19/10/2021,143.82
18/10/2021,142.96
15/10/2021,141.68
14/10/2021,141.41
13/10/2021,137.9
12/10/2021,136.71
11/10/2021,138.85
08/10/2021,140.06
07/10/2021,139.19
06/10/2021,137.35
05/10/2021,136.18
04/10/2021,133.76
01/10/2021,136.46
30/09/2021,133.27
29/09/2021,134.52
28/09/2021,136.18
27/09/2021,141.5
24/09/2021,142.63
23/09/2021,141.83
22/09/2021,140.94
21/09/2021,139.65
20/09/2021,139.02
17/09/2021,141.46
16/09/2021,144.37
15/09/2021,145.21
14/09/2021,143.41
13/09/2021,143.47
10/09/2021,141.92
09/09/2021,144.91
08/09/2021,144.88
07/09/2021,145.52
03/09/2021,144.78
02/09/2021,144.22
01/09/2021,145.84
31/08/2021,145.46
30/08/2021,145.47
27/08/2021,144.55
26/08/2021,142.12
25/08/2021,142.95
24/08/2021,142.4
23/08/2021,141.1
20/08/2021,138.44
19/08/2021,136.91
18/08/2021,136.57
17/08/2021,137.3
16/08/2021,138.92
13/08/2021,138.41
12/08/2021,138.39
11/08/2021,137.69
10/08/2021,138.1
09/08/2021,138
06/08/2021,137.04
05/08/2021,136.94
04/08/2021,136.03
03/08/2021,136.28
02/08/2021,135.99
30/07/2021,135.22
29/07/2021,136.54
28/07/2021,136.38
27/07/2021,136.8
26/07/2021,139.64
23/07/2021,137.82
22/07/2021,133.33
21/07/2021,132.6
20/07/2021,131.1
19/07/2021,129.25
16/07/2021,131.85
15/07/2021,131.27
14/07/2021,132.08
13/07/2021,130.99
12/07/2021,130.56
09/07/2021,129.57
08/07/2021,129.18
07/07/2021,130.08
06/07/2021,129.77
02/07/2021,128.72
01/07/2021,126.37
30/06/2021,125.32
29/06/2021,126.02
28/06/2021,126.82
25/06/2021,127
24/06/2021,127.28
23/06/2021,126.46
22/06/2021,127
21/06/2021,126.45
18/06/2021,125.57
17/06/2021,126.37
16/06/2021,125.7
15/06/2021,126.03
14/06/2021,126.35
11/06/2021,125.7
10/06/2021,126.08
09/06/2021,124.57
08/06/2021,124.14
07/06/2021,123.3
04/06/2021,122.59
03/06/2021,120.23
02/06/2021,121.06
01/06/2021,121.49
28/05/2021,120.58
27/05/2021,120.13
26/05/2021,121.68
25/05/2021,120.45
24/05/2021,120.33
21/05/2021,117.25
20/05/2021,117.8
19/05/2021,115.44
18/05/2021,115.17
17/05/2021,116.07
14/05/2021,115.81
13/05/2021,113.1
12/05/2021,111.95
11/05/2021,115.44
10/05/2021,117.08
07/05/2021,119.93
06/05/2021,119.07
05/05/2021,117.84
04/05/2021,117.71
03/05/2021,119.76
30/04/2021,120.51
29/04/2021,121.49
28/04/2021,119
27/04/2021,115.36
26/04/2021,116.34
23/04/2021,115.77
22/04/2021,113.4
21/04/2021,114.66
20/04/2021,114.68
19/04/2021,115.12
16/04/2021,114.89
15/04/2021,114.83
14/04/2021,112.74
13/04/2021,113.36
12/04/2021,112.74
09/04/2021,114.29
08/04/2021,113.27
07/04/2021,112.48
06/04/2021,111.24
05/04/2021,111.28
01/04/2021,106.89
31/03/2021,103.43
30/03/2021,102.78
29/03/2021,102.8
26/03/2021,101.78
25/03/2021,102.22
24/03/2021,102.25
23/03/2021,102.65
22/03/2021,101.93
19/03/2021,102.16
18/03/2021,101.81
17/03/2021,104.55
16/03/2021,104.63
15/03/2021,103.32
12/03/2021,103.1
11/03/2021,105.74
10/03/2021,102.75
09/03/2021,102.64
08/03/2021,101.21
05/03/2021,105.43
04/03/2021,102.45
03/03/2021,101.34
02/03/2021,103.79
01/03/2021,104.08
26/02/2021,101.84
25/02/2021,101.57
24/02/2021,104.76
